Name,bpm,axis,mean,std,length,amp_fit_pos,z_fit_pos,tune_fit_pos,phase_fit_pos,amp_fit_ang,z_fit_ang,tune_fit_ang,phase_fit_ang,LR_corr,m00,m01,m10,m11,det,m00_mod,m01_mod,m10_mod,m11_mod,tune,phi,alpha,beta,bet_model,beat,PS_radius_mean,PS_radius_std
bi8-b3,30,x,2.570649414996094,0.5862445329720131,36.29913299999998,1.668389347515678,4.675156383710889,0.3048177766163393,0.019341385047596187,-0.03635039121477306,5.139314473572408,0.3048407203529606,0.07048693358557685,0.9911770854079057,-15.375863287583215,-691.5452488029081,0.32826051984120946,14.699241490992193,0.9934752690943158,-15.426271783749002,-693.8124227085775,0.32933669480753847,14.74743173855618,0.6948846037193381,4.366088732274655,16.039008842240705,737.6001142486979,1327.140496,0.44421851607134,0.0612865393806603,0.0037129204726826046
bi8-b4,32,x,0.2079638672132129,0.13139414573482774,36.29913299999998,0.3851642459205078,3.199593846871338,0.304750348129139,0.06246146096955306,-0.03812132994149939,9.99999998047763,0.3048973865873621,0.2784054016229123,0.9826208495096869,-3.4902794624422597,-33.21744321593244,0.32527917518683985,2.8132807805462394,0.9858064006701222,-3.5153161142119616,-33.45572028440971,0.32761248446041596,2.8334611506257303,0.6946294684995864,4.364485670410566,3.376687327855824,35.58779967107364,63.14342524,0.43639738364193875,0.06430181883326416,0.005321479857091288
bi9-b4,53,x,0.25499414098593753,0.07421286154700184,36.27380999999991,0.21653685367073994,9.999999997527306,0.30485763386660064,-0.16638697033690925,0.01647252818282248,9.999999986299363,0.30477362892283033,-1.9726542060734458,0.9995026519333252,-0.6030458841752202,-12.850254908883988,0.07437946675842634,-0.07211564173020539,0.9992841487626967,-0.603261845700552,-12.85485681517976,0.07440610337682642,-0.07214146763234157,0.6951752547446267,4.367914946526264,0.282134699088956,13.657171929925747,13.89285531,0.01696435864444721,0.058591443626057525,0.0005208422489726026
bi9-b3,55,x,0.3467968750811426,0.20167882233483284,36.27380999999991,0.5807505988137387,9.999999877527971,0.3047308328589318,0.3227005554794336,0.016371558039054473,9.999999996838618,0.3047453584277966,-0.046141341707737975,0.9998910321204985,2.148374229673219,-94.28052710051547,0.07492189986130414,-2.822612447343386,0.999648368068405,2.1487520478059134,-94.29710749521885,0.07493507580240069,-2.823108838590984,0.6952637233085034,4.368470810906961,-2.6405595695798763,100.16254890053867,120.7062643,0.17019593406024525,0.058030345527675456,0.00037366906387394154
g9-bx,57,x,0.39329492189736326,0.11087948718844703,16.65271000000007,0.30606541858881375,4.624693082737934,0.3046931676759779,0.07860843112285552,0.014273805238575205,0.03204070998572096,0.30475573283162377,-2.134995698105195,0.9996193476842026,-0.9997150812282766,-24.685555513628067,0.05368280979537662,0.32529803645648214,0.9999846283918151,-0.9997227649311223,-24.68574524415901,0.053683222395692586,0.32530053666228614,0.6952581920185277,4.368436056787057,0.7037297687881343,26.22156723152562,22.42723784,-0.16918398148693367,0.059764627464881176,0.00055841799664444
g10-bx,60,x,0.571559570125,0.0914405780296503,16.65271000000007,0.23698417891008278,6.2736496055507835,0.3046939305591685,0.09907439827460655,0.013077144565518704,3.3615084068979675,0.3047922281918256,-1.3087813631051473,0.9993366988219423,-0.13743021600259572,-17.436171067094364,0.0530825179484193,-0.5369982256644508,0.9993556457668219,-0.13747451428230759,-17.441791318633655,0.053099628190229904,-0.5371713178584178,0.6952392907437228,4.368317296574916,-0.21229098882435354,18.527719475223122,15.40874503,-0.2024158644426036,0.05505600636507174,0.0005588343895289796
bo10-b3,62,x,-0.08529296872154297,0.10070838016216939,36.27368000000001,0.28054268432491525,6.001610874558479,0.3048171053814816,-0.3047377235793135,-0.013772320669390225,8.8784677889851,0.30476512489805013,0.5965762176740568,0.9997029026299982,-1.1202831902639334,-24.9337966302196,0.06009721662138586,0.44544818620063076,0.9994236621457628,-1.1206061606807054,-24.940984882939407,0.06011454226124883,0.44557660603911253,0.6952068527381122,4.368113482574669,0.831907525773728,26.49574936618862,37.55335754,0.2944505870622449,0.05450157982533161,0.0004697300152217594
bo10-b4,64,x,-0.024719726598808594,0.1449708035038002,36.27368000000001,0.39281822767031765,5.09411725180043,0.30484200723175786,-0.04115749176501646,0.013571415619595484,9.999999999783663,0.304733471319949,-0.6183818199884356,0.9977692434094655,0.9550071760061289,-46.26482577412205,0.05523823463091426,-1.6303953244319591,0.9985480667099614,0.9557012352489669,-46.298449113038835,0.055278379467798074,-1.6315802275120952,0.6951350370403553,4.3676622512376975,-1.3745058860403172,49.1925534475852,35.21777347,-0.39681043406930633,0.05597298206925423,0.0015050132910996929
bo11-b4,83,x,0.025074218617119143,0.10163444720442556,36.27368000000001,0.28452415512514945,5.513710700878904,0.3047314031960845,0.32270527536834714,0.014273637188764862,4.9137819129675755,0.30489756848518035,-1.9151123241455401,0.9974013892042981,-0.9647327333904514,-22.531254213235457,0.05668666087762496,0.28912375779420674,0.998294413588313,-0.9655565048208613,-22.550493327727754,0.05673506480350007,0.28937063642004807,0.6951090893389225,4.3674992170213,0.6667251983569054,23.96152197665965,31.68459255,0.24374845790277808,0.0580992619842857,0.0014103675769519268
bo11-b3,84,x,-0.2162822266411914,0.1431787614669592,36.27368000000001,0.35741934441412215,6.818839126641516,0.30487250751654255,0.14344753229735113,0.012150516316191774,9.999999999834422,0.3048491812395284,-0.44229295213464864,0.9998877654767326,1.047398677030234,-49.2658419312359,0.056938035110688644,-1.723326785264415,1.000090042661632,1.0473515249321506,-49.263624067244045,0.05693547185767421,-1.7232492040382874,0.6951334570305949,4.367652323743586,-1.4719003864258393,52.343267323299315,49.82305919,-0.05058316719751212,0.04939845668677785,0.0003003871682319037
g11-bx,86,x,-2.3086640657617186,0.06665766851374788,16.652829999999994,0.1609863441501378,3.4638367573478273,0.30486943522853344,0.1308639863825485,0.017373333225879712,5.480233842489642,0.30477980656101256,-1.96344674637685,0.9992668902524837,-0.9346637992223235,-10.32288208114709,0.12024918394912061,0.2594622489855955,0.9988081748692921,-0.9352212754848471,-10.329039120422452,0.120320906065346,0.25961700414456373,0.6951582645911216,4.367808194243395,0.634730404078224,10.974129782114069,16.07527966,0.3173288419099224,0.048595229544492906,0.0006164018466709095
g12-bx,87,x,0.2742519531298828,0.10355723329777196,16.652829999999994,0.29373723509477334,7.917749288906148,0.30472754282498404,0.17150155197343706,0.020269265258304626,9.999999976620941,0.30482714937697025,-0.4392559119360836,0.9977420767308178,1.1472599145934013,-25.463280140307063,0.121223809024471,-1.8216265580539512,0.9968766794511408,1.149055752656539,-25.503138525583697,0.12141356404653314,-1.8244780011037465,0.6951736538881987,4.3679048880486775,-1.5795667292639881,27.094973484582262,17.83428505,-0.5192632285857888,0.05642296425720842,0.0015589817100329314
bi12-b3,89,x,-0.2627939459482227,0.2811101182981361,36.27368000000001,0.791462424012347,4.19975864194854,0.3047693065705977,0.09059290624859632,-0.017060634852213496,3.9086586214541597,0.3047410782943025,0.3345593574776703,0.9990158835799389,-4.339788272208317,-190.74183530275604,0.0886344638996586,3.6656333421680904,0.9982277267398997,-4.343639036774899,-190.91108362886737,0.08871311069797098,3.668885918124042,0.6952302215105247,4.368260312902138,4.255779795518255,202.80137335521775,142.4053288,-0.4241136554660849,0.05557516305192634,0.0011042776936222786
bi12-b4,90,x,0.08404296878158203,0.08583770401094053,36.27368000000001,0.24439029826330427,7.19264961838201,0.3048576211441742,-0.03767037607786945,0.017260934151323532,4.097442018231236,0.3047636757695995,-2.2778262190769785,0.9989991581150659,-1.1513432695702441,-17.60784520010201,0.08785389403857694,0.4764123865796272,0.9984035716290764,-1.1522633899267123,-17.6219168824841,0.08792410433852516,0.47679312162759346,0.6951695940564053,4.367879379373203,0.8653767639830221,18.721999266178948,24.29886155,0.22951125806225492,0.05647919368775441,0.0009042823239850266
