Name,bpm,axis,mean,std,length,amp_fit_pos,b_fit_pos,tune_fit_pos,phase_fit_pos,amp_fit_ang,b_fit_ang,tune_fit_ang,phase_fit_ang,amp_fit_pos_next,b_fit_pos_next,tune_fit_pos_next,phase_fit_pos_next,amp_fit_ang_next,b_fit_ang_next,tune_fit_ang_next,phase_fit_ang_next,PS_area,LR_corr,m00,m01,m10,m11,det,m00_mod,m01_mod,m10_mod,m11_mod,tune,phi,alpha,beta,bet_model,beat
bi8-b4,32,x,0.17212932826257166,0.08051054563028721,36.29913299999998,-0.35967524327661166,-0.006314560792640265,0.2359596241170128,0.028576150861444605,0.04240587539884523,-0.006306099552559774,0.2359629863060273,-0.03775308788172112,0.36064004558944796,-0.006394102757674746,0.23595522374523056,-1.6295279956760853,0.042543428249821914,-0.006390378905485405,0.23595824949275776,1.4462323583605947,0.0031371162434147004,0.999648019357808,15.611815517772335,131.92200822262274,-1.8348656627810112,-15.440742888978145,1.0011336127228478,15.602974157722453,131.84729750291996,-1.8338265326459322,-15.431998411619718,0.2363775554043568,1.4852039830636832,15.574501246066845,132.33173605432953,65.47615064,-1.0210677439166196
bi9-b4,53,x,0.23516516073263302,0.04733417115880865,36.27380999999991,0.20887624861146906,-0.006379007606878257,0.2359463637618335,0.47355672908978674,0.011955703369979524,-0.006440106658380743,0.23596192202264452,1.2325811788196708,-0.20855535914287965,-0.006428502280381407,0.23594146618415146,-1.185734584916468,-0.011877448416250203,-0.006460261685080068,0.23594929616354626,-0.42062342403151576,0.005485714128001281,0.999934222471548,-0.9366111159775907,24.984781308947245,-0.08145523996027401,1.112469375103682,0.9931901739685142,-0.9398165761490014,25.07028928553542,-0.08173401257250469,1.1162766930107377,0.23593946720282397,1.4824513937125634,-1.0320715859142204,25.16844309579872,25.55882593,0.015273895415636542
bi9-b3,55,x,0.145587179252061,0.1366013850562925,36.27380999999991,0.6025207269925003,-0.006435985368114345,0.23595584161729594,0.9916009530697066,0.011955703369979524,-0.006440106658380743,0.23596192202264452,1.2325811788196708,-0.5989051941790661,-0.0064579446205680026,0.23594620088871338,-0.6642515811260209,-0.011877448416250203,-0.006460261685080068,0.23594929616354626,-0.42062342403151576,0.005530025779576152,0.9998959196188366,-3.872107858253052,205.83283766976555,-0.08100583920405911,4.0502836616628715,0.9905265567134787,-3.8905803077353225,206.81479293414256,-0.08139228925329432,4.069606124535248,0.2357344841774601,1.481163447379376,-3.9961350522864474,207.64836361747132,259.1350568,0.1986867150216036
g9-bx,57,x,-8.260232431913575,0.03919709741801569,16.65271000000007,0.1535175459326389,-0.006319933078312673,0.2360234612910786,1.4372630141658467,-0.017073111102926444,-0.006517811721881537,0.23602939228046496,0.782341698378706,-0.1526431555527297,-0.006341413119191056,0.2360168593033956,-0.21793227029999518,0.017042802478303098,-0.006576153453075597,0.23603099317274068,-0.8790400859998031,0.005002360894601544,0.9999786581397738,1.3874100128784386,14.691504517372405,-0.18240963021744092,-1.2152162804291124,0.9938686710715195,1.3916830058670056,14.736751917356198,-0.18297142165885422,-1.2189589452489322,0.2362379124975886,1.4843265808036255,1.3102161785930206,14.792017552447835,18.85271553,0.21539061421101102
g10-bx,60,x,9.070498418562552,0.04561248527555752,16.65271000000007,-0.18720254620856333,-0.0065790815849669166,0.2360052315590494,0.26103679184028017,-0.017073111102926444,-0.006517811721881537,0.23602939228046496,0.782341698378706,0.18788070467056403,-0.006679472631165228,0.2360057366165766,-1.3995856247766993,0.017042802478303098,-0.006576153453075597,0.23603099317274068,-0.8790400859998031,0.00521372086448804,0.9997073029252475,-1.5911288142930542,21.44198174264959,-0.1773860977160271,1.7610322726705252,1.0014802766808537,-1.5899524646842256,21.426129307190624,-0.1772549530439016,1.7597303104368698,0.2364732290739057,1.4858051184584768,-1.6809087607669686,21.50374879034963,18.67088168,-0.15172647756555374
bo10-b3,62,x,-0.030895436121172605,0.08345103855236556,36.27368000000001,0.36801354204628295,-0.006370113046599809,0.2359527343356508,-2.4272105445663588,0.014062717062783931,-0.006330389357968004,0.2359557615607748,0.38902932511987515,0.3664628992338715,-0.006400963522141179,0.23594601254803863,-0.9437020536558156,-0.01404808080681932,-0.006381504261904522,0.23595109178644152,-1.2701264121764575,0.005179817980491569,0.9999843254967645,3.0489285754682385,81.64146308542097,-0.1195954072119294,-2.8763730535863674,0.9940880262923127,3.0579813278151127,81.8838695335403,-0.1199505049377418,-2.884913461230171,0.23621045048026146,1.48415403185985,2.982635547290924,82.1921803060238,94.60224219,0.1311814772746265
bo10-b4,64,x,-0.06201023795248784,0.04469959989993502,36.27368000000001,0.19982402708442507,-0.006325017118170016,0.23597019644512882,-0.24146111254551864,0.014062717062783931,-0.006330389357968004,0.2359557615607748,0.38902932511987515,0.20053357754326345,-0.006410328090566829,0.23596289261583117,1.2445978906454105,-0.01404808080681932,-0.006381504261904522,0.23595109178644152,-1.2701264121764575,0.005176296829254702,0.9999231082257017,-1.3061742804852063,24.393322083261832,-0.12023625798330426,1.4801178858419157,0.9996698525000536,-1.3063899489750836,24.397349777739812,-0.12025611074918334,1.480362274966743,0.23613820346058872,1.4837000904473547,-1.3986777722977926,24.490179316215738,17.45850739,-0.40276478218541084
bo11-b4,83,x,-0.03590002846058135,0.046250792769525706,36.27368000000001,0.20617451913929127,-0.006264295965978465,0.23595944315555079,-0.3109734693416134,-0.014164544159503321,-0.006354172016352522,0.23598242148251816,-0.9090295820524162,0.20704607346832438,-0.006357709537363882,0.2359521850545354,1.1755656603315743,0.014179750824126076,-0.006430909451627742,0.23596843290602415,-2.5586565237125902,0.005123874998727931,0.9997840290191791,1.603257619746743,26.414393590121552,-0.12430157925356451,-1.4221357755040998,1.0033008198859488,1.600618120020411,26.370906639681632,-0.12409693716711415,-1.4197944630761925,0.23559083412232878,1.4802608674635993,1.5164168313809436,26.479353788276622,20.60080992,-0.28535498803712195
bo11-b3,84,x,-0.047186879969138035,0.0818398206943165,36.27368000000001,-0.362264304976066,-0.006440664114538326,0.2359852963602387,-1.2355177802924147,-0.014164544159503321,-0.006354172016352522,0.23598242148251816,-0.9090295820524162,-0.36142359605835017,-0.00649512075826296,0.23596980260373107,0.2570391755783064,0.014179750824126076,-0.006430909451627742,0.23596843290602415,-2.5586565237125902,0.005154354153356983,0.9999642355046613,-2.8648321201544578,79.67258212102809,-0.12222241517338776,3.0500974184649463,0.9997583559135564,-2.8651783177684207,79.68221007012657,-0.12223718501215357,3.050466004268351,0.2352341004781545,1.4780194438719467,-2.9705977776342456,80.02637862102073,94.79244064,0.15577256919734134
g11-bx,86,x,6.68091191793198,0.04339476175199635,16.652829999999994,-0.1877036434818726,-0.006625697055548177,0.23597464639444518,-0.848311660610584,0.014973496314483681,-0.0067005580530514796,0.2359244810248358,-1.3625824555099746,0.18837627551110944,-0.006736547483471978,0.23595896849712658,-2.4966817759029163,0.014942864911945073,-0.00677777665407064,0.2359000736951152,0.1341655215407725,0.004747542229875982,0.9986285977918188,1.7323454877053006,24.123627779597765,-0.15257823716266397,-1.54558760359381,1.0032488896403113,1.7295382265633465,24.08453550652103,-0.1523309845451379,-1.5430829830941186,0.23514078538779276,1.477433127867248,1.6434682022366573,24.189886781764148,19.15235045,-0.26302444417542226
g12-bx,87,x,-7.880900587568577,0.03289802636810428,16.652829999999994,-0.1262371269429751,-0.006285416021049336,0.23587816298286612,0.9630320530639728,0.014973496314483681,-0.0067005580530514796,0.2359244810248358,-1.3625824555099746,0.12519074996048102,-0.006284475708952429,0.2358576629416757,-0.688292787476151,0.014942864911945073,-0.00677777665407064,0.2359000736951152,0.1341655215407725,0.004521357876922807,0.9994283466665415,-0.783243900664741,11.124725752026905,-0.1575966111766099,0.9708674529902728,0.9927930678800598,-0.7860816412757712,11.165031314606207,-0.15816759334872388,0.9743849652197835,0.23499307007808118,1.4765050052036226,-0.884160864287413,11.214849177479335,18.63167495,0.39807616826852515
bi12-b3,89,x,-0.47373570593746095,0.11529291729949541,36.27368000000001,0.5095660555785343,-0.006430528079270432,0.2359729210029817,-1.5053380629198674,0.01036108996071922,-0.006398884799575278,0.235965953036452,1.3718656042105648,0.5071825207398646,-0.006467904461695288,0.23595707155598028,-0.013435644747853425,-0.010297368306586995,-0.006424033742124724,0.2359517811321475,-0.27990027595157674,0.004442866243410375,0.9998720202202515,3.6876812862405655,183.6115984851681,-0.07579126764159365,-3.5044683275890014,0.992793533017475,3.7010411143469475,184.27679138110858,-0.07606584622609186,-3.5171644070022468,0.2353468639006524,1.478727957351373,3.624453405712471,185.0605783222931,259.7640288,0.2875819674602571
bi12-b4,90,x,0.21592853503779091,0.03966229795880587,36.27368000000001,0.17676600112840046,-0.00641767632527766,0.235989511377183,-0.9152177998694504,0.01036108996071922,-0.006398884799575278,0.235965953036452,1.3718656042105648,0.17691680620776343,-0.006491343525899537,0.23597517131874382,0.5769223680308941,-0.010297368306586995,-0.006424033742124724,0.2359517811321475,-0.27990027595157674,0.00443117721557382,0.9998428333396243,0.9299399844979985,22.266933887710284,-0.07594513696934763,-0.7470063165406854,0.9963943015658141,0.9316210735646202,22.307186699429124,-0.07608242597890794,-0.7483567092244797,0.2353957991733121,1.4790354267375512,0.8435377205139208,22.401431271638582,26.73997493,0.1622493539997278
